product_category,review_score
cds_dvds_musicais,4.642857142857143
fashion_roupa_infanto_juvenil,4.5
livros_interesse_geral,4.446265938069216
construcao_ferramentas_ferramentas,4.444444444444445
flores,4.419354838709677
livros_importados,4.4
livros_tecnicos,4.368421052631579
alimentos_bebidas,4.315412186379929
malas_acessorios,4.315257352941177
portateis_casa_forno_e_cafe,4.302631578947368
fashion_esporte,4.258064516129032
fashion_calcados,4.233716475095785
alimentos,4.218181818181818
musica,4.2105263157894735
cine_foto,4.205479452054795
papelaria,4.193857199840447
pet_shop,4.185146982980918
pcs,4.175
eletrodomesticos,4.172456575682382
perfumaria,4.161940952937737
brinquedos,4.158640919090687
instrumentos_musicais,4.152592592592592
eletroportateis,4.149187592319055
cool_stuff,4.146341463414634
fashion_bolsas_e_acessorios,4.144678764100049
eletrodomesticos_2,4.142857142857143
beleza_saude,4.1427682737169516
artes_e_artesanato,4.125
tablets_impressao_imagem,4.1234567901234565
moveis_quarto,4.118181818181818
esporte_lazer,4.107986111111111
industria_comercio_e_negocios,4.101503759398496
sinalizacao_e_seguranca,4.086294416243655
dvds_blu_ray,4.079365079365079
automotivo,4.065511511986708
utilidades_domesticas,4.055019444044361
construcao_ferramentas_jardim,4.054166666666666
construcao_ferramentas_iluminacao,4.054054054054054
construcao_ferramentas_construcao,4.052915766738661
bebidas,4.047745358090186
ferramentas_jardim,4.042735042735043
eletronicos,4.037468170243725
consoles_games,4.0230700976042595
artigos_de_natal,4.02054794520548
market_place,4.019417475728155
relogios_presentes,4.019159663865546
bebes,4.011811023622047
agro_industria_e_comercio,4.0
la_cuisine,4.0
fashion_underwear_e_moda_praia,3.976923076923077
climatizacao,3.969178082191781
moveis_cozinha_area_de_servico_jantar_e_jardim,3.9642857142857144
telefonia,3.946867389860527
casa_construcao,3.94
artes,3.9371980676328504
informatica_acessorios,3.9308192126385526
moveis_sala,3.904382470119522
moveis_decoracao,3.9034929780338494
cama_mesa_banho,3.8956631049654304
construcao_ferramentas_seguranca,3.844559585492228
others,3.8410513141426783
casa_conforto,3.829885057471264
audio,3.8254847645429364
moveis_colchao_e_estofado,3.8157894736842106
fashion_roupa_feminina,3.78
artigos_de_festas,3.7674418604651163
telefonia_fixa,3.683206106870229
fashion_roupa_masculina,3.6412213740458017
casa_conforto_2,3.6296296296296298
moveis_escritorio,3.4931831653823355
pc_gamer,3.3333333333333335
portateis_cozinha_e_preparadores_de_alimentos,3.2666666666666666
fraldas_higiene,3.2564102564102564
seguros_e_servicos,2.5
